iter	Passed	Remaining
0	1	174
1	2	132
2	3	111
3	4	108
4	5	103
5	6	100
6	7	97
7	8	93
8	8	88
9	9	85
10	10	85
11	11	84
12	12	84
13	13	83
14	14	81
15	15	79
16	16	80
17	17	78
18	18	76
19	18	75
20	19	74
21	20	73
22	21	71
23	22	70
24	23	69
25	23	68
26	24	66
27	25	65
28	26	64
29	27	63
30	27	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	42
53	48	41
54	49	40
55	50	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	33
63	57	32
64	58	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	70	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	85	3
96	86	2
97	87	1
98	87	0
99	89	0
